target,gr_code,model,global_rmsd,lddt,tm_score,gdt_ts,clashscore,cc_mask,cc_peaks,tempy_mi,tempy_smoc,ai,ai_bb,ai_base,id
R1136,248,3,53.88,0.533695526,0.2408,9.693,0.5,0.0401,-0.2785,0.021149418,0.352943878,0.250407115,0.221256684,0.287839771,923
R1136,248,4,53.84,0.537401362,0.2215,9.826,0.67,0.0423,-0.2895,0.020518029,0.336945293,0.252661907,0.195187166,0.326466381,924
R1136,248,5,53.9,0.534917574,0.2391,9.826,0.5,0.0419,-0.2717,0.020426058,0.328265313,0.253288238,0.209001783,0.310157368,925
R1136,287,1,14.26,0.749845977,0.5576,25.134,0,0.0895,-0.0933,0.036109138,0.609802996,0.410998372,0.342691622,0.498712446,926
R1136,287,2,14.35,0.736035214,0.6113,27.607,1.5,0.1281,0.0348,0.047022192,0.69694999,0.511461856,0.447860963,0.593133047,927
R1136,287,3,18.74,0.749045228,0.552,26.872,0,0.1094,-0.0829,0.034446355,0.554550524,0.421270199,0.349153298,0.513876967,928
R1136,287,4,10.94,0.739542158,0.5924,25.735,0,0.1077,-0.0458,0.037280116,0.620233583,0.444945509,0.379456328,0.529041488,929
R1136,287,5,12.7,0.747842378,0.5753,27.206,0.08,0.0967,-0.0821,0.034347856,0.566011658,0.410873105,0.340909091,0.500715308,930
R1136,325,1,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,931
R1136,325,2,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,932
R1136,325,3,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,933
R1136,325,4,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,934
R1136,325,5,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,935
R1136,347,1,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,936
R1136,347,2,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,937
R1136,347,3,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,938
R1136,347,4,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,939
R1136,347,5,8.22,0.777832499,0.7101,33.957,12.49,0.1671,0.0844,0.046509212,0.714332349,0.555625157,0.492311121,0.636909871,940
R1136,385,1,50.39,0.345339175,0.1712,5.548,7.74,0.0247,-0.3342,0.016308667,0.201168845,0.170612552,0.173796791,0.166523605,941
R1136,392,1,41.27,0.550230604,0.296,8.222,88.65,0.0544,-0.2745,0.017700272,0.27692869,0.253162971,0.210784314,0.30758226,942
R1136,392,2,39.23,0.536066493,0.2083,7.888,95,0.0385,-0.2655,0.020865185,0.374300764,0.270574972,0.217023173,0.339341917,943
R1136,392,3,41.96,0.532951511,0.2264,9.559,88.07,0.0367,-0.304,0.019882632,0.305775906,0.224101215,0.22214795,0.226609442,944
R1136,416,1,46.19,0.553164382,0.2189,11.832,29.47,0.0526,-0.2277,0.02015536,0.358107921,0.282725792,0.262032086,0.309298999,945
R1136,416,2,35.25,0.577411631,0.2654,11.096,6.41,0.0407,-0.2803,0.02156047,0.335829233,0.239508957,0.215463458,0.285550787,946
R1136,416,3,56.05,0.55220055,0.1954,11.163,34.31,0.0809,-0.3137,0.012593255,0.219015648,0.217462107,0.217468806,0.217453505,947
R1136,416,4,41.96,0.563791779,0.2242,9.693,5.24,0.0679,-0.3063,0.013700488,0.282702589,0.205311286,0.192959002,0.221173104,948
R1136,416,5,38.72,0.546749762,0.1904,8.957,5.08,0.0428,-0.3379,0.014562094,0.20347345,0.195540524,0.168003565,0.230901288,949
